QualifiedApiName,DeveloperName,DataType
Id,Id,Lookup()
OwnerId,Owner,"Lookup(User,Group)"
IsDeleted,IsDeleted,Checkbox
Name,Name,Text(80)
CurrencyIsoCode,CurrencyIsoCode,Picklist
CreatedDate,CreatedDate,Date/Time
CreatedById,CreatedBy,Lookup(User)
LastModifiedDate,LastModifiedDate,Date/Time
LastModifiedById,LastModifiedBy,Lookup(User)
SystemModstamp,SystemModstamp,Date/Time
LastViewedDate,LastViewedDate,Date/Time
LastReferencedDate,LastReferencedDate,Date/Time
UserRecordAccessId,UserRecordAccess,Lookup(User Record Access)
Haulage_Offer__c,Haulage_Offer,Lookup(Haulage Offers)
Loading_Photos__c,Loading_Photos,Rich Text Area(32768)
annex_vii__c,annex_vii,Checkbox
annex_vii_pdf__c,annex_vii_pdf,Text(255)
basel_annex_ix__c,basel_annex_ix,Text(255)
cmr_paperwork__c,cmr_paperwork,Checkbox
cmr_pdf__c,cmr_pdf,Text(255)
collection_date__c,collection_date,Date
commercial_invoice__c,commercial_invoice,Checkbox
destination_country__c,destination_country,Text(255)
duty_of_care__c,duty_of_care,Checkbox
duty_of_care_pdf__c,duty_of_care_pdf,Text(255)
ec_list_of_wastes__c,ec_list_of_wastes,Text(255)
export_country__c,export_country,Text(255)
fc_address_line_2__c,fc_address_line_2,Text(255)
fc_city__c,fc_city,Text(255)
fc_company_name__c,fc_company_name,Text(255)
fc_country__c,fc_country,Text(255)
fc_county__c,fc_county,Text(255)
fc_date_of_transfer__c,fc_date_of_transfer,Date
fc_email__c,fc_email,Text(255)
fc_first_name__c,fc_first_name,Text(255)
fc_means_of_transport__c,fc_means_of_transport,Text(255)
fc_post_code__c,fc_post_code,Text(255)
fc_second_name__c,fc_second_name,Text(255)
fc_street_address__c,fc_street_address,Text(255)
fc_telephone__c,fc_telephone,Text(255)
fc_vehicle_registration__c,fc_vehicle_registration,Text(255)
green_list__c,green_list,Checkbox
green_list_pdf__c,green_list_pdf,Text(255)
gross_weight__c,gross_weight,Text(255)
haulage_bid_id__c,haulage_bid_id,Text(255)
hs_code__c,hs_code,Text(255)
load_invoice__c,load_invoice,Checkbox
load_number__c,load_number,Text(255)
load_status__c,load_status,Picklist
material__c,material,Text(255)
national_code__c,national_code,Text(255)
net_weight__c,net_weight,Text(255)
number_of_bales__c,number_of_bales,Text(255)
oecd__c,oecd,Text(225)
packing_list__c,packing_list,Checkbox
packing_slip_pdf__c,packing_slip_pdf,Text(255)
pallet_weight__c,pallet_weight,Text(255)
purchase_order__c,purchase_order,Checkbox
sales_order__c,sales_order,Checkbox
sc_address_line_2__c,sc_address_line_2,Text(255)
sc_city__c,sc_city,Text(255)
sc_company_name__c,sc_company_name,Text(255)
sc_country__c,sc_country,Text(255)
sc_county__c,sc_county,Text(255)
sc_date_of_transfer__c,sc_date_of_transfer,Date
sc_email__c,sc_email,Text(255)
sc_first_name__c,sc_first_name,Text(255)
sc_means_of_transport__c,sc_means_of_transport,Text(255)
sc_post_code__c,sc_post_code,Text(255)
sc_second_name__c,sc_second_name,Text(255)
sc_street_address__c,sc_street_address,Text(255)
sc_telephone__c,sc_telephone,Text(255)
sc_vehicle_registration__c,sc_vehicle_registration,Text(255)
seller_agreed_collection_date__c,seller_agreed_collection_date,Checkbox
tc_address_line_2__c,tc_address_line_2,Text(255)
tc_city__c,tc_city,Text(255)
tc_company_name__c,tc_company_name,Text(255)
tc_country__c,tc_country,Text(255)
tc_county__c,tc_county,Text(255)
tc_date_of_transfer__c,tc_date_of_transfer,Date
tc_email__c,tc_email,Text(255)
tc_first_name__c,tc_first_name,Text(255)
tc_last_name__c,tc_last_name,Text(255)
tc_means_of_transport__c,tc_means_of_transport,Text(255)
tc_post_code__c,tc_post_code,Text(255)
tc_street_address__c,tc_street_address,Text(255)
tc_telephone__c,tc_telephone,Text(255)
tc_vehicle_registration__c,tc_vehicle_registration,Text(255)
trailer_number__c,trailer_number,Text(255)
